time_s,time_h,TMSPA_mM,BMSPA_mM,MMSPA_mM,H3PO4_mM,H2O_mM,TMSOH_mM,siloxyl_mM,EC_mM,TMSOEG_mM,TMSOdiEG_mM,CO2_mM
1.0,0.0002777777777777778,50.0,0.0,0.0,0.0,20.0,0.0,0.0,4500.0,0.0,0.0,0.0
1.0280732238308652,0.00028557589550857364,49.994767224635275,0.005232501556194728,2.737989758085542e-07,9.55245973075723e-12,19.9947676291243,0.005170568120921987,6.783071090821658e-07,4500.0,6.064646794138146e-05,4.779803618802184e-07,6.160242866514191e-05
1.0569345535579884,0.00029359293154388567,49.98938815312729,0.010610720848750366,1.125944300017135e-06,7.967129653186666e-11,19.989389790586486,0.010358089210116942,2.7635628566372856e-06,4500.0,0.0002454181250799849,3.938516326965569e-06,0.0002532951577339161
1.0866061138545973,0.00030183503162627704,49.98385874842087,0.016138646486651413,2.6048120973210354e-06,2.803829601469769e-10,19.98386247572971,0.015559028522560745,6.332681713465449e-06,4500.0,0.0005584726787187962,1.3690388505338886e-05,0.0005858534557294737
1.117110650504824,0.0003103085140291178,49.97817486620851,0.021820371173179833,4.761925160552697e-06,6.931424602080459e-10,19.978181567305754,0.02076972052464821,1.146440869531118e-05,4500.0,0.0010038291644608982,3.341859801036135e-05,0.0010706663604816207
1.1484715478402894,0.00031901987440008037,49.972332252360516,0.027660094088657265,7.652138658890412e-06,1.412165764654066e-09,19.972342836638028,0.025986372648258385,1.8239240518205727e-05,4500.0,0.0015853441558913084,6.720731916488134e-05,0.0017197587942210705
1.18071284666619,0.00032797579074060834,49.96632654031056,0.033662123307376654,1.133383616954765e-05,2.545896648510951e-09,19.966341940716845,0.03120506984379917,2.6739334272127518e-05,4500.0,0.002306686757857223,0.00011956334935542196,0.0025458134565680664
1.2138592626906282,0.0003371831285251745,49.96015324839121,0.03983087825365557,1.5869136513914356e-05,4.21862010105037e-09,19.960174419226814,0.03642177948214388,3.704840938200554e-05,4500.0,0.0031713137833393737,0.0001954391007000216,0.0035621919847394165
1.2479362054713112,0.00034664894596425313,49.9538077771272,0.04617089218850397,2.13241120503924e-05,6.5722363685575035e-09,19.953835691503823,0.04163235734565465,4.9251633165379014e-05,4500.0,0.004182443215390005,0.00030025630460924787,0.004782955824608501
1.282969797894148,0.00035638049941504106,49.94728540648232,0.052686814730498174,2.776901897055856e-05,9.768210170820328e-09,19.947321053421266,0.04683255436443887,6.343549437236469e-05,4500.0,0.005343027101309968,0.0004399296216010608,0.0062228863445120885
1.3189868961986702,0.00036638524894407504,49.94058129305987,0.059383414410190134,3.5278540220112876e-05,1.3989711130004415e-08,19.94062567420446,0.052018024125833714,7.968766426230344e-05,4500.0,0.006655723977254819,0.0006208900315586058,0.00789750404037203
1.3560151105656337,0.0003766708640460094,49.933690467257705,0.06626558125661883,4.393204170254891e-05,1.9443962944894872e-08,19.933744593172047,0.057184331245128686,9.809684400086864e-05,4500.0,0.008122870784803525,0.0008501079576104392,0.009823086700024401
1.3940828262825782,0.0003872452295229384,49.92660783036964,0.0733383294231669,5.3813842364917086e-05,2.6364819361944468e-08,19.92667271640491,0.062326959903370754,0.00011875260730789156,4500.0,0.009746456263922702,0.001135114824355934,0.012016685912634566
1.433219225503574,0.00039811645152877054,49.919328151651264,0.08060679983406568,6.50134990640195e-05,3.501558932132731e-08,19.91940481333837,0.06744132416131929,0.000141745217383603,4500.0,0.011528091784164191,0.0014840255033561594,0.014496142790876505
1.4734543096198354,0.0004092928637832876,49.911846065336626,0.08807626286440455,7.762610681496837e-05,4.5692132385449455e-08,19.91193551327929,0.07252277883671239,0.00016716543378542326,4500.0,0.013468983058075357,0.001905559397767594,0.01728010185361054
1.514818922258346,0.00042078303396065166,49.90415606760315,0.09575212105541465,9.175261517871886e-05,5.8726248220076536e-08,19.90425930184767,0.07756663070837284,0.00019510431225899428,4500.0,0.015569903496505428,0.0024090596416098823,0.020388022779725186
1.5573447729261345,0.0004325957702572596,49.896252513499014,0.10363991184983319,0.00010750016174695921,7.44893882068554e-08,19.896370517339463,0.08256815131372154,0.00022565298103479457,4500.0,0.01783116619179153,0.0030045121809983734,0.023840190553788273
1.6010644613183178,0.00044474012814397715,49.888129613809085,0.11174531037085177,0.00012498242333724416,9.339671436574566e-08,19.88826334701423,0.08752258914094344,0.00025890242198645536,4500.0,0.02025260020729097,0.0037025612232118453,0.02765772265371466
1.6460115023085506,0.00045722541730793074,49.879781431893626,0.12007413220868418,0.00014431998613222854,1.1591154143705779e-07,19.879931823300822,0.0924251843119273,0.0002949432164939991,4500.0,0.022833523707988454,0.00451452547150287,0.03186257465099419
1.6922203516410372,0.000470061208789177,49.87120188047316,0.1286323362412096,0.00016564073542357964,1.4255019200252114e-07,19.871369819925448,0.09727118326775425,0.00033386528818180375,4500.0,0.025572720359273538,0.005452411168672875,0.036477542696619285
1.7397264323438015,0.00048325734231772263,49.862384718360985,0.13742602748573834,0.00018908026595687466,1.7388730087964944e-07,19.8625710479613,0.10205585357747983,0.00037575764096690016,4500.0,0.028468418782345958,0.006528922047835325,0.0415262628780166
1.7885661618834616,0.0004968239338565172,49.85332354715257,0.14646145997181556,0.00021478231398074261,2.1056160939417233e-07,19.853529051797906,0.10677449961344612,0.00042070808263459063,4500.0,0.03151827337171923,0.007757467145192834,0.047033207662104885
1.8387769800823275,0.0005107713833562021,49.844011807886254,0.15574503961923783,0.00024289921218891496,2.5328229559493536e-07,19.844237205027294,0.11142248033499212,0.0004688029179207635,4500.0,0.034719343991028405,0.009152167740172521,0.05302367947137344
1.8903973778192211,0.0005251103827275614,49.83444277762112,0.1652833271748134,0.00027359236816898626,3.028358755186626e-07,19.83468870625655,0.11599522420393751,0.0005201266754685498,4500.0,0.03806808602171429,0.010727856855231328,0.05952379973217694
1.943466926536021,0.0005398519240377836,49.82460956601027,0.1750830411277451,0.00030703276822190904,3.6009374126673153e-07,19.824876574832977,0.12048824818614343,0.0005747617785620531,4500.0,0.041560335031687747,0.012500080185963446,0.06656049540361464
1.9980263085725505,0.0005550073079368195,49.81450511181118,0.18515106066118922,0.0003434015072233374,4.260203786678535e-07,19.8147936464923,0.12489717546523289,0.0006327882292589085,4500.0,0.04519129858815082,0.014485091241694347,0.07416148107153951
2.054117348353065,0.0005705881523202958,49.804122179336275,0.19549442863555289,0.0003828903458249672,5.016823220472331e-07,19.804432568929645,0.12921775201343721,0.0006942833040159086,4500.0,0.0489555545509132,0.016699841220059027,0.08235523699103124
2.1117830444482437,0.0005866064012356232,49.793453354882764,0.20612035456265582,0.0004257022966348097,5.882579192631988e-07,19.793785797286972,0.133445865407609,0.0007593212168853948,4500.0,0.05284704868781637,0.01916196742100078,0.09117098352981794
2.1710676025372653,0.0006030743340381293,49.78249104312374,0.2170362175876919,0.0004720522405673307,6.870479723364975e-07,19.782845589560853,0.13757756408298882,0.0008279727738330948,4500.0,0.056859095915807685,0.021889777687893356,0.1006386512915944
2.232016469295234,0.0006200045748042316,49.7712274634108,0.2282495695274559,0.000522167574395952,7.994873115553485e-07,19.77160400193991,0.14160907236181425,0.0009003050783525692,4500.0,0.06098439426296834,0.024902226380457214,0.11078884702388277
2.2946763672319364,0.0006374101020088712,49.75965464610458,0.23976813784607326,0.0005762888918970101,9.271574184568246e-07,19.760052884053,0.14553681155697534,0.0009763811553947976,4500.0,0.06521503100317294,0.0282188922560503,0.12165281551527353
2.3590953305086355,0.0006553042584746209,49.74776442879177,0.2515998287090445,0.000634670699016886,1.071800139817253e-06,19.74818387415369,0.14935741415695075,0.0010562596614917777,4500.0,0.06954250662934104,0.03185994542636155,0.13326239748206414
2.425322741760353,0.000673700761600098,49.73554845251482,0.2637527299869011,0.0006975821656187557,1.2353326259862537e-06,19.73598839422082,0.1530677422335157,0.0011399945372018514,4500.0,0.0739577546814573,0.035846114360281664,0.14564998340202062
2.4934093699518796,0.0006926137138755221,49.72299815795409,0.27623511426731906,0.0007653079149895118,1.4198635764819551e-06,19.72345764498738,0.15666490436798466,0.0012276346758026081,4500.0,0.07845116880362653,0.04019864720123963,0.15884846320610582
2.563407409296515,0.0007120576136934765,49.71010478152939,0.2890554419070706,0.0008381488526258509,1.627710884238436e-06,19.710582600905113,0.16014626781190164,0.0013192236505212606,4500.0,0.0830126419300585,0.044939265742057304,0.17289117341417312
2.6353705192673944,0.0007320473664631651,49.696859351528865,0.3022223640134657,0.0009164230367989059,1.8614208403484447e-06,19.69735400502891,0.1635094753017544,0.001414799378974434,4500.0,0.08763160093673589,0.05009011939750425,0.1878118397317444
2.7093538657320515,0.000752598296036681,49.683252684174406,0.31574472544445,0.0010004665921177181,2.123788989746291e-06,19.683762363839,0.16675245799075747,0.0015143938351689882,4500.0,0.09229705176330957,0.05567373261828995,0.2036445169998895
2.7854141632417675,0.0007737261564560465,49.66927537963087,0.3296315678182402,0.001090634668091122,2.417882770790276e-06,19.66979794200246,0.16987344474517738,0.0016180328057286133,4500.0,0.09699763318025305,0.06171294731461689,0.2204235278094869
2.863609718508116,0.0007954471440300322,49.654917818054486,0.3438921324341566,0.001187302445195715,2.747066136400595e-06,19.655450757061395,0.1728709760539953,0.0017257355848836564,4500.0,0.10172166635958661,0.06823086498837772,0.23818339633634214
